Refseq;PFOS_Fold_Regulation;PFOS_pvalue;PFOA_Fold_Regulation;PFOA_pvalue;Aflatoxin B1_Fold_Regulation;Aflatoxin B1_pvalue;Cadmium chloride_Fold_Regulation;Cadmium chloride_pvalue;Lasiocarpine_Fold_Regulation;Lasiocarpine_pvalue
NM_000014;1.08;0.664391;1.59;0.175488;1.46;0.398089;2.23;0.300471;1.7;0.279618
NM_005763;-1.76;0.083583;-1.58;0.158301;-1.52;0.109828;-1.05;0.808644;-1.08;0.633533
NM_000927;-1.13;0.350647;-1.5;0.090254;-1.4;0.073378;1.03;0.84064;1.02;0.917482
NM_000392;-1.08;0.699259;-1.08;0.798125;-1.08;0.956306;2.44;0.052676;1.06;0.929375
NM_000689;-1.62;0.027629;-1.04;0.756811;-2.14;0.009944;-1.21;0.46667;-1.07;0.513632
NM_001039667;17.23;0.006796;22.97;0.005994;4.71;0.000236;-1.22;0.487889;-1.34;0.558147
NM_001154;-1.12;0.462043;-1.02;0.824672;1.14;0.43651;1.19;0.241392;-1.09;0.667751
NM_001674;-1.23;0.4793;1.37;0.677428;8.42;0.077397;2.14;0.865411;1.02;0.627853
NM_001713;-1.61;0.362691;-1.12;0.874098;1.02;0.86412;1.68;0.16248;1.31;0.561823
NM_006129;-1.52;0.072177;-1.54;0.14;1.12;0.363568;-1.01;0.890881;-1.11;0.5394
NM_130851;-1.01;0.927449;1.03;0.921403;-1.07;0.716753;1.19;0.499219;-1.02;0.938582
NM_006763;-1.29;0.505314;-1.26;0.502466;10.35;0.000233;1.34;0.551181;1.13;0.873229
NM_004929;2.06;0.280015;1.78;0.447614;2.36;0.2781;2.06;0.20868;1.54;0.495651
NM_001752;-1.14;0.584408;1.17;0.539412;-1.6;0.143125;-1.3;0.699118;-1.1;0.643806
NM_002983;14.41;0.347291;-1.46;0.449379;16.06;0.320082;1.87;0.718026;1.41;0.68322
NM_053056;1.36;0.035452;1.49;0.058541;3.02;0.006145;1.99;0.021515;1.13;0.338094
NM_004060;-1.03;0.655566;1.05;0.481282;1.59;0.002367;-1.05;0.507614;-1.02;0.686262
NM_005125;-1.24;0.433982;-1.15;0.707772;1.49;0.194215;-1.04;0.759514;1.03;0.935548
NM_013230;-1.49;0.183442;-1.03;0.828863;-1.47;0.187266;1.05;0.8004;1.08;0.788671
NM_000610;1.5;0.037746;1.17;0.02364;1.54;0.006631;1.31;0.024686;1.02;0.800205
NM_000389;-1;0.855626;1.31;0.255967;11.12;0.001631;2.45;0.03348;-1.08;0.662374
NM_001831;-1.21;0.810043;1.12;0.883849;-1.13;0.774611;1.14;0.61682;-1.05;0.872795
NM_000096;-1.2;0.490616;1.02;0.932357;-1.53;0.151372;-1.68;0.354552;1.07;0.725121
NM_000099;-1.09;0.69231;-1.1;0.612444;1.47;0.04198;-1.03;0.868635;-1.13;0.467308
NM_004079;-1.08;0.674087;-1.4;0.147256;1.2;0.568592;1.01;0.916159;-1.1;0.724703
NM_001511;1.28;0.462545;-1.53;0.061081;1.42;0.402484;-1.14;0.85845;1.09;0.588901
NM_001565;-1.05;0.96882;-9.91;0.036115;6.62;0.153407;1.4;0.467089;1.18;0.48071
NM_000769;1.74;0.098866;1.57;0.07526;-2.36;0.035381;-1.46;0.183393;1.53;0.18946
NM_000106;-1.39;0.410793;1.12;0.752908;-1.17;0.532847;1.05;0.976748;1.05;0.945049
NM_001554;-1.57;0.00718;-1.12;0.399146;1.05;0.692627;1.21;0.059602;1.02;0.810507
NM_001963;1.4;0.336669;1.19;0.642027;-1.53;0.981119;1.11;0.805401;1.17;0.694304
NM_005141;-1.59;0.952041;-2.4;0.15334;18.3;0.025465;-1.2;0.93346;-1.48;0.745019
NM_001460;-1.31;0.317236;-1.17;0.460779;-1.21;0.443488;-1.11;0.614461;-1.03;0.766951
NM_002026;-1.85;0.008793;-1.47;0.0411;-1.13;0.600822;1.12;0.465456;-1.04;0.686608
NM_000151;-1.24;0.757728;-1.12;0.767371;-1.2;0.573548;-1.38;0.504375;-1.56;0.417938
NM_000402;1.05;0.926131;1.38;0.402501;1.27;0.547303;1.86;0.103353;1.07;0.87856
NM_001924;-1.04;0.749519;1.95;0.069867;5.64;0.025014;2.68;0.103636;1.02;0.914041
NM_000156;-1.55;0.041796;1.07;0.641568;1.52;0.016064;-1.02;0.904058;-1.06;0.634968
NM_001482;1.15;0.052367;1.13;0.026177;1.44;0.108894;1.37;0.018457;1.14;0.406894
NM_000583;1.25;0.430956;2.11;0.104187;1.05;0.710626;2.11;0.30954;1.61;0.296289
NM_000163;-1.03;0.780817;1.08;0.475248;1.38;0.406079;2.03;0.349035;1.16;0.180211
NM_002065;-1.35;0.271183;-1.2;0.548905;1.61;0.095025;1.06;0.908085;-1.09;0.611006
NM_002510;-1.8;0.174501;1.3;0.464462;-1.02;0.881349;1.01;0.8576;-1.08;0.681075
NM_002083;-1.34;0.659504;1.31;0.627503;3;0.010366;1.08;0.949384;1.24;0.744153
NM_001008397;-1.36;0.005745;-1.08;0.1834;-1.61;0.0004;-1.1;0.10598;-1.03;0.787598
NM_015917;-1.27;0.347631;1.09;0.776722;1.01;0.931365;-1.09;0.622208;-1.09;0.609038
NM_000852;-1.14;0.505603;1.03;0.919069;1.17;0.442213;1.09;0.721522;-1.03;0.804357
NM_012206;1.32;0.12713;-1.39;0.081483;-1.45;0.103766;1.18;0.337468;1.15;0.408905
NM_002133;2.57;0.06317;1.28;0.647121;2.24;0.0461;9;0.029352;1.19;0.837649
NM_002134;-1.08;0.402577;-1.04;0.500186;1.63;0.029742;1.19;0.012137;-1.06;0.525433
NM_001017963;-1.17;0.276905;-1;0.934675;1.25;0.08921;1.06;0.642737;-1.15;0.319041
NM_005896;-1.48;0.001904;1.72;0.323719;-1.5;0.017613;-1;0.918906;-1.17;0.033387
NM_000596;1.13;0.479495;2.07;0.173226;2.68;0.046748;2.19;0.154098;1.23;0.42737
NM_000598;1.26;0.244182;-1.19;0.152053;1.08;0.575766;-1.01;0.915682;-1.09;0.470174
NM_152230;-1.07;0.740214;-1.11;0.377333;1.12;0.407289;-1.01;0.989237;-1.14;0.350225
NM_002257;1.53;0.292963;1.53;0.321392;1.14;0.769557;-1.28;0.803101;-2.02;0.208999
NM_005564;-1.05;0.587605;-1.07;0.582022;1.14;0.811103;-1.04;0.797885;1.25;0.837623
NM_002306;1.01;0.986677;1.42;0.065339;1.37;0.234794;1.21;0.368042;1.03;0.951332
NM_005915;1.06;0.877444;-1.08;0.621529;-1.85;0.088671;1.03;0.894435;-1.1;0.725703
NM_000900;-1.02;0.852009;1.68;0.1601;1.47;0.396815;1.79;0.087589;1.25;0.118579
NM_005946;1.33;0.268767;-1.2;0.456343;1.14;0.490189;10.74;0.002841;-1.05;0.760138
NM_016931;-1.47;0.532886;-1.39;0.932838;-2.15;0.171407;1.11;0.649809;1.22;0.74598
NM_014625;-1.04;0.873515;1.02;0.831876;1.76;0.630157;1.17;0.90223;1.13;0.946109
NM_000903;1.15;0.454711;1.36;0.109894;1.51;0.022749;2.21;0.001192;1.03;0.904935
NM_000274;-1.07;0.41812;-1.16;0.071324;1.25;0.069287;-1.07;0.22043;-1.07;0.229878
NM_002539;-1.02;0.985392;1.35;0.062196;2.27;0.061989;1.67;0.108175;-1.02;0.939677
NM_004683;1.97;0.705042;1.51;0.785751;1.15;0.677811;2.74;0.533437;1.23;0.920927
NM_007008;1.02;0.826833;-1.01;0.888488;1.15;0.160867;1.08;0.363524;-1.03;0.66117
NM_005063;1.45;0.353369;1.66;0.093346;-1.64;0.156254;1.08;0.978529;1.09;0.946339
NM_003057;-1.25;0.612923;1.32;0.61673;1.65;0.299666;1.54;0.38823;1.15;0.943351
NM_003060;-1.29;0.240783;-1.15;0.40456;1.26;0.218788;1.2;0.358154;-1.1;0.573132
NM_004790;-1.03;0.780817;1.08;0.475248;1.05;0.710626;1.15;0.344451;1.16;0.180211
NM_003955;-1.07;0.766223;-1;0.934233;1.32;0.397316;-1.09;0.608533;-1.04;0.731069
NM_000636;1.33;0.353499;-1.4;0.210529;1.2;0.607974;-1.05;0.930813;1.05;0.865066
NM_003102;1.02;0.818983;1.05;0.540931;1.31;0.112978;1.02;0.776923;-1.01;0.969828
NM_000582;1.27;0.070058;1.4;0.021394;1.07;0.563614;1.45;0.018666;1.04;0.732604
NM_005987;-1.03;0.780817;1.08;0.475248;1.05;0.710626;1.15;0.344451;1.16;0.180211
NM_003254;1.03;0.856827;-1.05;0.804677;1.75;0.00632;1.19;0.391882;-1.1;0.47673
NM_021103;-1.02;0.777866;-1.06;0.323938;1.01;0.934769;1.02;0.801822;-1.02;0.684315
NM_016639;-1.18;0.263356;-1;0.987116;1.57;0.037569;1.18;0.35299;-1.1;0.477993
NM_004181;-1.13;0.509974;1.1;0.687766;1.32;0.187596;1.62;0.023677;1.02;0.997671
NM_000463;1.09;0.955075;1.25;0.701741;-1.02;0.979568;1.58;0.727817;1.31;0.974971
NM_001078;3.47;0.178309;1.82;0.081065;-1.99;0.093133;-1.15;0.936188;-1.26;0.465916
NM_003380;1.28;0.00044;1.01;0.865712;-1.11;0.077716;-1.05;0.198765;-1.01;0.967688
NM_001101;-1.13;0.033133;-1.06;0.25991;-1.1;0.066499;1.04;0.503422;-1.02;0.744158
NM_004048;-1.27;0.100201;-1.09;0.398938;1.06;0.62946;-1.16;0.27368;-1.08;0.453843
NM_002046;1.22;0.056454;1.02;0.740136;-1.03;0.701456;1.05;0.534342;-1.03;0.766899
NM_000194;1.22;0.085177;1.02;0.855509;-1.04;0.694886;1.04;0.738944;1.11;0.584655
NM_001002;-1.04;0.549062;1.11;0.119571;1.11;0.110728;1.02;0.732914;1.03;0.704226
